"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"210",210,0.423856509002427,0.15706334842117,1600,"cond_imp",1.81462407112122,0.220528841018677,0.666666666666667,0.666666666666667,0.49003267916358,0.47513908500104
"211",211,0.274926500065418,0.00412805733704845,800,"multiplicative",1.27939105033875,0.184725999832153,0.666666666666667,0.666666666666667,0.460513483476453,0.463184495973734
"212",212,0.0906265851227403,0.393365792189745,200,"suppression",1.00363612174988,0.160121917724609,0.428571428571429,0.428571428571429,0.326944291818711,0.343828136967884
"213",213,0.267937502900837,0.582504078829859,200,"multiplicative",0.881184101104736,0.15551495552063,1,1,0.752622891391978,0.724505374189773
"214",214,0.436032253386152,0.299657710718178,800,"linear",1.25420713424683,0.190057992935181,0.666666666666667,0.666666666666667,0.858328139007518,0.858785638094248
"215",215,0.490075857456722,0.568538423710501,400,"interaction",1.04792499542236,0.177895069122314,1,1,0.825831829386939,0.809481149624825
"216",216,0.478444239012059,0.523598059361893,800,"suppression",1.32887887954712,0.195021152496338,0.666666666666667,0.666666666666667,0.659261468889649,0.672869638252005
"217",217,0.4393780986291,0.114586411703838,100,"suppression",0.863717794418335,0.156261205673218,0.428571428571429,0.428571428571429,0.60791395442196,0.637351563119988
"218",218,0.477338842369262,0.615160086227883,400,"local_only",1.12294697761536,0.16887092590332,0.666666666666667,0.666666666666667,0.967404978447055,0.962538148861501
"219",219,0.451136036551626,0.504941134114693,200,"suppression",0.915135145187378,0.158735990524292,0.666666666666667,0.666666666666667,0.814503076752695,0.832271174155603
"220",220,0.496776700701926,0.246939809053084,400,"suppression",1.00594305992126,0.173392057418823,0.666666666666667,0.666666666666667,0.815863795211909,0.809271119932697
"221",221,0.576473801980389,0.59655819593093,800,"signal_diff",1.25750708580017,0.181566953659058,0.666666666666667,0.666666666666667,0.954535086399438,0.956424692394998
"222",222,0.370877975538051,0.31019136524289,1600,"suppression",1.92587089538574,0.217854022979736,1,1,0.810400734875821,0.794502376238408
"223",223,0.126845420381019,0.301997193255326,100,"suppression",0.835226058959961,0.156661033630371,0.25,0.25,0.121343069059865,0.140481434362461
"224",224,0.230906799256013,0.220235948336562,400,"local_only",1.02063679695129,0.167123079299927,0.428571428571429,0.428571428571429,0.952010743198695,0.95212579081014
"225",225,0.299328904566451,0.613602526120219,800,"cond_imp",1.2830638885498,0.189554214477539,0.428571428571429,0.428571428571429,0.456179418166239,0.453070099006523
"226",226,0.0847005577799203,0.00202137609488476,1600,"interaction",1.90189504623413,0.216897010803223,1,1,0.804180636772016,0.793914418154187
"227",227,0.419324558046532,0.673953654287001,100,"interaction",0.839953184127808,0.153950929641724,0.428571428571429,0.428571428571429,-0.181970155624619,-0.216379660032087
"228",228,0.396914465669126,0.558915661870143,800,"multiplicative",1.27411007881165,0.188592910766602,1,1,0.752449635024994,0.743946007530036
"229",229,0.020415834674261,0.41419406841797,400,"interaction",1.13859391212463,0.166450023651123,0.428571428571429,0.428571428571429,0.11219542147964,0.0825384688459609
"230",230,0.475901957784688,0.828007739019955,1600,"multiplicative",1.7889940738678,0.217816829681396,0.666666666666667,0.666666666666667,0.490704064309973,0.489720402889281
"231",231,0.414625905836511,0.699715356142445,100,"linear",0.828133821487427,0.154331207275391,0.666666666666667,0.666666666666667,0.396645644245108,0.372458186906723
"232",232,0.0671525056398756,0.518083833195604,1600,"multiplicative",1.89578294754028,0.212746143341064,0.666666666666667,0.666666666666667,0.694797764259206,0.686178756718149
"233",233,0.208991221168585,0.600908222419422,800,"cond_imp",1.26144003868103,0.18442702293396,1,1,0.951802846062142,0.955017841356803
"234",234,0.474552526489581,0.306479547370166,800,"suppression",1.42223310470581,0.178652048110962,0.666666666666667,0.666666666666667,0.734800954692625,0.744938468082803
"235",235,0.00592195499496689,0.693835514066226,400,"suppression",1.03107500076294,0.165495157241821,0.428571428571429,0.428571428571429,-0.112283380017678,-0.0944232160926679
"236",236,0.588078366015176,0.425673100873829,200,"local_only",0.995691061019897,0.179429054260254,0.428571428571429,0.428571428571429,0.922311159952224,0.93250447375126
"237",237,0.272364682716284,0.500153979410424,200,"local_only",0.945005893707275,0.161998987197876,0.428571428571429,0.666666666666667,0.819810084876997,0.839375016203144
"238",238,0.475498564705183,0.736746534901503,400,"multiplicative",1.07466506958008,0.179407835006714,0.428571428571429,0.428571428571429,0.443393997132347,0.438557314455354
"239",239,0.22412615260534,0.145012793564857,400,"local_only",1.09344601631165,0.173408031463623,0.666666666666667,0.666666666666667,0.957900150488255,0.962146481793428
"240",240,0.558505211856469,0.221064992361124,1600,"local_only",1.98614192008972,0.221071004867554,0.428571428571429,0.428571428571429,0.936306137021541,0.938105032464757
"241",241,0.48192620245755,0.874135332745535,800,"local_only",1.31220412254333,0.191451787948608,1,0.666666666666667,0.970035733984539,0.967517921649295
"242",242,0.408433639620011,0.0920925994765155,800,"suppression",1.49628591537476,0.192377090454102,0.666666666666667,0.666666666666667,0.731208589258529,0.749108396349341
"243",243,0.376089492260156,0.823082939209708,1600,"cond_imp",1.81924891471863,0.229154109954834,0.666666666666667,0.666666666666667,0.708541236016201,0.69845288901642
"244",244,0.0716267385283396,0.0710852459738337,1600,"cond_imp",1.94110298156738,0.22607684135437,1,0.666666666666667,0.745036036923986,0.753151793349671
"245",245,0.145202533528704,0.0813477471751001,1600,"linear",1.97408390045166,0.355870008468628,1,1,0.914848941075537,0.918493287669215
"246",246,0.0966141656729734,0.395147815693809,1600,"linear",1.86662983894348,0.221116065979004,1,1,0.950803471502715,0.949386436060732
"247",247,0.148257185154942,0.507667193397595,400,"local_only",1.04584097862244,0.175333976745605,0.428571428571429,0.428571428571429,0.842655654603271,0.828989690253167
"248",248,0.0909925841555133,0.185543264307314,200,"interaction",0.917021036148071,0.165396928787231,0.428571428571429,0.428571428571429,0.625762588339837,0.603788375738969
"249",249,0.407163589701528,0.115945500907643,800,"suppression",1.42734599113464,0.183679103851318,1,1,0.777164215532397,0.776618403241553
"250",250,0.415068077932615,0.227859104609744,800,"suppression",1.30303406715393,0.183642864227295,0.666666666666667,0.666666666666667,0.821760663913356,0.818338822003806
